,count,mean,std,min,25%,50%,75%,max
Depth(ft),7311.0,3835.043935166188,2147.5039800052073,85.18,1970.395,3851.85,5691.585,7536.25
Depth(m),7311.0,1168.8643783340171,654.5272428824389,25.96,600.5450000000001,1173.99,1734.71,2296.94
ROP(1 ft),7311.0,42.01032416906032,75.92111769498868,0.0,11.4,17.99,44.295,2977.91
ROP(1 m),7311.0,12.80415811790453,23.139621482470563,0.0,3.47,5.48,13.5,907.62
weight on bit (k-lbs),7311.0,23.11669949391328,9.119494731986466,0.0,18.31,23.83,29.68,47.05
weight on bit (kg),7311.0,10483.764002188484,4135.825226503787,0.0,8303.85,10807.26,13460.32,21337.87
Temp Out( degF),7311.0,126.05950622349884,12.25987861724739,84.07,116.13,124.86,136.49,151.7
Temp Out( degC),7311.0,52.25529749692245,6.811022515423152,28.93,46.74,51.59,58.05,66.5
Temp In(degF),7311.0,118.31559294214199,11.933137251024622,85.0,108.85,117.22,126.86,146.31
Temp In(degC),7311.0,47.95308986458761,6.629485639890594,29.44,42.695,47.34,52.7,63.51
Pit Total (bbls),7311.0,236.92920393926963,18.26163979676007,170.91,224.535,238.11,249.59,279.88
Pit Total (m3),7311.0,37.668700588154834,2.9034003663798877,27.17,35.7,37.86,39.68,44.5
Pump Press (psi),7311.0,1266.6344959649844,490.55460866974806,19.94,665.5899999999999,1432.56,1669.68,2200.43
Pump Press (KPa),7311.0,8733.44496512105,3382.3740163148914,137.49,4589.24,9877.5,11512.44,15171.96
Hookload (k-lbs),7311.0,81.28559294214197,26.503832068913244,27.27,54.72,80.14,105.63,148.93
Hookload (kg),7311.0,36864.21455614827,12019.87847242238,12367.35,24816.33,36344.67,47904.76,67541.95
Surface Torque (psi),7311.0,130.98364929558198,48.70665093621476,0.0,117.0,140.31,157.28,273.71
Surface Torque (KPa),7311.0,903.132322527698,335.83242074637843,0.0,806.715,967.44,1084.45,1887.23
Rotary Speed (rpm),7311.0,54.94729175215429,25.947653742558952,0.0,38.09,50.38,75.965,271.58
Flow In (gal/min),7311.0,716.2541266584599,141.7841791697693,0.0,620.26,700.21,824.6099999999999,3317.51
Flow In(liters/min),7311.0,2711.3154971960057,536.7112748852678,0.0,2347.94,2650.58,3121.485,12558.14
Flow Out %,7311.0,79.69283408562441,11.909399366892076,0.69,72.65,80.71,88.845,111.21
WH Pressure (psi),7311.0,-35.76087539324307,222.66948936811687,-1231.83,2.92,5.94,8.26,17.41
WH Pressure (KPa),7311.0,-246.57128026261796,1535.3065385014604,-8493.47,20.13,40.96,56.95,120.04
H2S Floor,7311.0,-0.027372452468882515,0.042452878539581684,-0.1,-0.07,-0.01,0.0,0.78
H2S Cellar,7311.0,0.0043031049104089725,0.025281518420948258,-0.08,-0.01,0.0,0.02,0.07
H2S Pits,7311.0,0.14883326494323623,0.11528976623427482,-0.06,0.06,0.14,0.22,0.72
